Model,F1_Macro,F1_Binary,ROC_AUC,PR_AUC
XGBoost,0.9999770874677381,0.9999804706571623,0.9999996774958506,0.9999997619528768
Random_Forest,0.99993126333327,0.9999414096830264,0.9999998253958429,0.9999998706781116
